date_all,link,employers,job_titel,salary,working_hrs,job_details,job_location
3 days ago,https://www.reed.co.uk/jobs/data-protection-analyst/52142324?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,SNG Formerly Sovereign Housing Association,Data Protection Analyst,"£28,000 - £34,000 per annum","Permanent, full-time",Are you looking for a new and exciting opportunity? Do you have experience or knowledge in Data Protection? It's a really exciting time to join us as ...,Basingstoke
2 days ago,https://www.reed.co.uk/jobs/market-data-analyst/52146905?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,AMS Contingent,Market Data Analyst,Salary negotiable,"Contract, full-time","We are AMS. We are a global total workforce solutions firm; we enable organisations to thrive in an age of constant change by building, re-shaping, an...",City of London
15 January,https://www.reed.co.uk/jobs/data-analyst/51950515?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,Kelly Services,Data Analyst,"£45,000 per annum","Permanent, full-time","Data Analyst (Power BI Application) My client is seeking a highly skilled and motivated Power BI Data Analyst to join their dynamic team. The successful candidate will be responsible for transforming raw data into meaningful insights using Power BI, ...",Cheltenham
2 January,https://www.reed.co.uk/jobs/data-analyst-trainee/51870481?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",East London
3 January,https://www.reed.co.uk/jobs/data-analyst-trainee/51879828?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",London
3 January,https://www.reed.co.uk/jobs/data-analyst-trainee/51879560?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",Sunderland
3 January,https://www.reed.co.uk/jobs/data-analyst-trainee/51879459?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",Enfield
4 January,https://www.reed.co.uk/jobs/data-analyst-trainee/51883781?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",East London
4 January,https://www.reed.co.uk/jobs/data-analyst-trainee/51883656?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",London
10 January,https://www.reed.co.uk/jobs/data-analyst-trainee/51923558?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",London
9 January,https://www.reed.co.uk/jobs/data-analyst-trainee/51919444?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",Uxbridge
2 January,https://www.reed.co.uk/jobs/data-analyst-trainee/51868769?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",Croydon
29 January,https://www.reed.co.uk/jobs/data-analyst-trainee/52027847?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",Gloucester
29 January,https://www.reed.co.uk/jobs/data-analyst-trainee/52027487?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",West London
29 January,https://www.reed.co.uk/jobs/data-analyst-trainee/52027406?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",Cambridge
29 January,https://www.reed.co.uk/jobs/data-analyst-trainee/52027196?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",Slough
27 December,https://www.reed.co.uk/jobs/data-analyst-trainee/51852763?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",Nottingham
27 December,https://www.reed.co.uk/jobs/data-analyst-trainee/51852655?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",Liverpool
26 January,https://www.reed.co.uk/jobs/data-analyst-trainee/52019423?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",Warrington
24 January,https://www.reed.co.uk/jobs/data-analyst-trainee/52007539?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs-in-england,ITonlinelearning Recruitment,Data Analyst Trainee, Training Course,"Permanent, full-time","Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do ...",Crawley
